item,category,destination_type,travel_type,season,quantity,reason,importance,tags,climate
Passport,documents,international,all,all,1,Required for international travel and border crossing,critical,travel-document;identification;required,all
Travel Insurance Documents,documents,international,all,all,1,Essential for medical emergencies and trip cancellations abroad,high,insurance;emergency;safety,all
Visa Documentation,documents,international,all,all,1,Required for entry to certain countries,critical,travel-document;legal;required,all
Driver's License,documents,all,all,all,1,Needed for car rentals and additional ID,medium,identification;rental;optional,all
Health Insurance Card,documents,all,all,all,1,Medical coverage documentation,high,health;insurance;emergency,all
Vaccination Certificate,documents,international,all,all,1,Required proof of vaccinations for certain destinations,high,health;medical;required,tropical;developing
Emergency Contact List,documents,all,all,all,1,Important phone numbers and addresses,medium,safety;emergency;contact,all
Credit Cards,documents,all,all,all,2,Primary payment method with fraud protection,critical,payment;finance;essential,all
Debit Card,documents,all,all,all,1,ATM access for local currency,high,payment;cash;banking,all
Cash (Local Currency),other,all,all,all,1,Small bills for immediate expenses and tips,high,payment;cash;emergency,all
Phone Charger,tech,all,all,all,1,Essential for device charging and communication,critical,electronics;charging;required,all
Universal Power Adapter,tech,international,all,all,1,Plug compatibility for different countries,critical,electronics;charging;adapter,all
Portable Power Bank,tech,all,all,all,1,Backup charging for mobile devices,high,electronics;charging;backup,all
Laptop,tech,all,BUSINESS,all,1,Essential for work and presentations,critical,work;electronics;productivity,all
Laptop Charger,tech,all,BUSINESS,all,1,Power supply for laptop,critical,electronics;charging;required,all
USB-C Cable,tech,all,all,all,1,Versatile charging and data transfer,medium,electronics;charging;cable,all
Headphones,tech,all,all,all,1,Entertainment and calls during travel,medium,entertainment;audio;comfort,all
E-reader or Tablet,tech,all,VACATION,all,1,Entertainment and reading material,low,entertainment;reading;leisure,all
Camera,tech,all,VACATION,all,1,Capture memories and special moments,medium,photography;memories;entertainment,all
Camera SD Cards,tech,all,VACATION,all,2,Additional storage for photos,medium,photography;storage;backup,all
Toothbrush,hygiene,all,all,all,1,Daily oral hygiene essential,critical,hygiene;dental;required,all
Toothpaste,hygiene,all,all,all,1,Daily oral hygiene essential,critical,hygiene;dental;required,all
Deodorant,hygiene,all,all,all,1,Personal hygiene and freshness,high,hygiene;personal;essential,all
Shampoo,hygiene,all,all,all,1,Hair washing essential,medium,hygiene;hair;shower,all
Conditioner,hygiene,all,all,all,1,Hair care for longer trips,low,hygiene;hair;optional,all
Body Soap,hygiene,all,all,all,1,Body washing essential,medium,hygiene;shower;essential,all
Face Wash,hygiene,all,all,all,1,Facial hygiene,medium,hygiene;skincare;face,all
Moisturizer,hygiene,all,all,all,1,Skin hydration especially in dry climates,medium,skincare;hydration;comfort,all
Razor,hygiene,all,all,all,1,Personal grooming,low,hygiene;grooming;optional,all
Shaving Cream,hygiene,all,all,all,1,Shaving comfort,low,hygiene;grooming;optional,all
Nail Clippers,hygiene,all,all,all,1,Nail care during longer trips,low,hygiene;grooming;tools,all
